"","Cell","PredictedID"
"190_2","190_2","B cells"
"191_2","191_2","Epithelial"
"192_2","192_2","Epithelial"
"193_2","193_2","Epithelial"
"194_2","194_2","Epithelial"
"195_2","195_2","T cells"
"196_2","196_2","B cells"
"197_2","197_2","T cells"
"198_2","198_2","T cells"
"200_2","200_2","Epithelial"
"201_2","201_2","Epithelial"
"202_2","202_2","Epithelial"
"203_2","203_2","Epithelial"
"204_2","204_2","Epithelial"
"205_2","205_2","Epithelial"
"206_2","206_2","Epithelial"
"207_2","207_2","Epithelial"
"208_2","208_2","T cells"
"209_2","209_2","Epithelial"
"210_2","210_2","T cells"
"211_2","211_2","Epithelial"
"212_2","212_2","Epithelial"
"213_2","213_2","Epithelial"
"214_2","214_2","plasma cells"
"215_2","215_2","T cells"
"216_2","216_2","Epithelial"
"217_2","217_2","Epithelial"
"218_2","218_2","Epithelial"
"219_2","219_2","Epithelial"
"220_2","220_2","Epithelial"
"221_2","221_2","Epithelial"
"223_2","223_2","Epithelial"
"224_2","224_2","Epithelial"
"225_2","225_2","Epithelial"
"226_2","226_2","Epithelial"
"227_2","227_2","Epithelial"
"228_2","228_2","T cells"
"229_2","229_2","T cells"
"230_2","230_2","NK"
"231_2","231_2","Epithelial"
"232_2","232_2","T cells"
"233_2","233_2","Epithelial"
"234_2","234_2","T cells"
"235_2","235_2","Epithelial"
"236_2","236_2","Epithelial"
"237_2","237_2","Epithelial"
"238_2","238_2","Epithelial"
"239_2","239_2","T cells"
"240_2","240_2","Epithelial"
"241_2","241_2","T cells"
"242_2","242_2","Epithelial"
"243_2","243_2","Epithelial"
"244_2","244_2","T cells"
"245_2","245_2","Epithelial"
"246_2","246_2","T cells"
"247_2","247_2","Epithelial"
"249_2","249_2","Epithelial"
"250_2","250_2","T cells"
"251_2","251_2","Epithelial"
"252_2","252_2","T cells"
"253_2","253_2","T cells"
"254_2","254_2","Epithelial"
"255_2","255_2","T cells"
"257_2","257_2","Epithelial"
"258_2","258_2","T cells"
"259_2","259_2","Epithelial"
"260_2","260_2","Epithelial"
"261_2","261_2","T cells"
"262_2","262_2","Epithelial"
"263_2","263_2","Epithelial"
"264_2","264_2","Epithelial"
"265_2","265_2","Epithelial"
"266_2","266_2","Epithelial"
"267_2","267_2","Epithelial"
"268_2","268_2","Epithelial"
"269_2","269_2","T cells"
"270_2","270_2","Epithelial"
"271_2","271_2","T cells"
"272_2","272_2","T cells"
"273_2","273_2","Epithelial"
"274_2","274_2","plasma cells"
"275_2","275_2","Epithelial"
"276_2","276_2","Epithelial"
"277_2","277_2","Epithelial"
"278_2","278_2","T cells"
"279_2","279_2","Epithelial"
"280_2","280_2","Epithelial"
"281_2","281_2","Epithelial"
"282_2","282_2","Epithelial"
"283_2","283_2","Epithelial"
"284_2","284_2","T cells"
"285_2","285_2","T cells"
"286_2","286_2","T cells"
"287_2","287_2","Epithelial"
"288_2","288_2","Epithelial"
"289_2","289_2","Epithelial"
"290_2","290_2","Epithelial"
"291_2","291_2","T cells"
"292_2","292_2","Epithelial"
"293_2","293_2","Epithelial"
"294_2","294_2","T cells"
"295_2","295_2","CAFs"
"296_2","296_2","Epithelial"
"297_2","297_2","Epithelial"
"298_2","298_2","Epithelial"
"299_2","299_2","T cells"
"300_2","300_2","Epithelial"
"301_2","301_2","CAFs"
"302_2","302_2","Epithelial"
"303_2","303_2","Epithelial"
"304_2","304_2","T cells"
"305_2","305_2","Myofib"
"306_2","306_2","Epithelial"
"307_2","307_2","plasma cells"
"308_2","308_2","T cells"
"309_2","309_2","Epithelial"
"310_2","310_2","T cells"
"311_2","311_2","Epithelial"
"312_2","312_2","Epithelial"
"313_2","313_2","Epithelial"
"314_2","314_2","Epithelial"
"315_2","315_2","Epithelial"
